page,chunk,entity_name,entity_type,description
11,0,บ้านเดิง,LOCATION,หมู่บ้านมอญ อยู่ในเขตตำบลเชียงรากน้อย ติดกับหมู่บ้านศาลาแดง ชาวมอญที่อพยพมาอยู่นี้อพยพมาจากหมู่บ้าน “เดิง”
11,0,วัดศาลาแดง,ATTRACTION,ศูนย์กลางพระพุทธศาสนาของชุมชน
11,0,บ้านกลาง,LOCATION,"หมู่บ้านมอญเรียกว่าหมู่บ้าน “สะกราด"" อยู่ในเมืองเมาะตะมะ เป็นหมู่บ้านใหญ่ มีวัดสองพี่น้องเป็นศูนย์กลางของพระพุทธศาสนาในชุมชน"
11,0,วัดสองพี่น้อง,ATTRACTION,ศูนย์กลางของพระพุทธศาสนาในชุมชนบ้านกลาง
11,0,หลวงพ่อเพชร,CULTURE,พระพุทธรูปที่เป็นที่เคารพกราบไหว้นับถือของคนทั่วไปทั้งมอญและไทย
11,0,บ้านสวนมะม่วง,LOCATION,ชุมชนมอญตั้งอยู่ฝั่งตะวันออกของแม่น้ำเจ้าพระยา ห่างจากบ้านกลาง ประมาณ 3 กิโลเมตร
11,0,วัดสวนมะม่วง,ATTRACTION,ศูนย์กลางพุทธศาสนาของชุมชนบ้านสวนมะม่วง
11,0,วัดราชบูรณะ,ANTIQUE,"วัดร้างสมัยอยุธยา มีชื่อเดิมว่า “พี้ยะเกริก"" ปัจจุบันไม่เหลือซาก โบราณสถานเลย"
11,0,บ้านอำพุ,LOCATION,หมู่บ้านชาวมอญที่อยู่ติดกับหมู่บ้านสวนมะม่วงทางด้านได้ ด้านเหนือติดกับวัดไผ่ล้อม
11,0,วัดอำพุวราราม,ATTRACTION,ศูนย์กลางฝั่งตะวันตกของแม่น้ำ ตรงข้ามกับบ้านสวนมะม่วง
12,0,บ้านเจดีย์ทอง,LOCATION,เป็นชุมชนมอญอยู่ในเขตตำบลคลองควาย ฝั่งตะวันตกของแม่น้ำ ตรงกันข้ามบ้านสวนมะม่วง เป็นหมู่บ้านใหญ่ตั้งบ้านเรือนอยู่ริมฝั่งแม่น้ำเจ้าพระยา
12,0,ชาวมอญ,PERSON,อพยพมาจากเมือง มุฐ์เดิงร์ ซึ่งเป็นชื่อเจดีย์รูปแบบเจดีย์มอญของวัดเจดีย์ทอง แต่มีขนาดใหญ่
12,0,บ้านเจดีย์ทอง,LOCATION,มีวัดเจดีย์ทองเป็นศูนย์กลางพระพุทธศาสนาของชุมชน บริเวณนี้เคยเป็นที่ตั้ง ชุมชนโบราณสมัยอยุธยามาก่อน มีวัดร้างอยู่แล้วก่อนชาวมอญอพยพมาอยู่ จากหลักฐานใบเสมาศิลาทราย จำหลักลวดลายสวยงาม ชาวมอญที่อพยพมาอยู่ในสมัยกรุงธนบุรีได้ก่อตั้งหมู่บ้าน และบูรณะวัดร้าง ขึ้นมาใหม่ให้ชื่อว่าวัดเจดีย์ทอง
